Kanji,Heisig_Keyword
薬,medicine
歌,song
欲,longing
映,reflect
画,brush_stroke
面,mask
写,copy
真,TRUE
色,color
形,shape
型,mould
種,species
類,sort
直,straightaway
接,touch
線,line
角,angle
曲,bend
共,together
同,same
違,difference
似,similar
以,by_means_of
旅,trip
館,Bldg.
宿,inn
泊,overnight
遊,play
和,harmony
洋,ocean
服,clothing
室,room
窓,window
父,father
母,mama
親,parent
族,tribe
歳,year-end
姉,elder_sister
妹,younger_sister
兄,elder_brother
弟,younger_brother
第,No.
娘,daughter
息,breath
若,young
者,someone
彼,he
結,tie
婚,marriage
果,fruit
課,chapter
効,merit
自,oneself
由,wherefore
信,faith
依,reliant
頼,trust
民,people
主,lord
義,righteousness
議,deliberation
論,argument
賛,approve
反,anti-
対,vis-a-vis
応,apply
答,solution
特,special
別,separate
専,specialty
般,carrier
的,bull's_eye
普,universal
並,row
平,even
均,level
等,etc.
病,ill
院,Inst.
医,doctor
歯,tooth
科,department
死,death
亡,deceased
忙,busy
疲,tired
痛,pain
禁,prohibition
煙,smoke
酒,sake
酔,drunk
杯,cupfuls
危,dangerous
険,precipitous
保,protect
証,evidence
存,suppose
注,pour
意,idea
確,assurance
認,acknowledge
率,ratio
機,mechanism
械,contraption
器,utensil
材,lumber
具,tool
基,fundamentals
準,semi-
備,equip
設,establishment
説,rumor
公,public
園,park
祭,ritual
察,guess
際,occasion
飛,fly
航,navigate
船,ship
港,harbor
島,island
完,perfect
成,turn_into
功,achievement
失,lose
敗,failure
原,meadow
因,cause
資,assets
源,source
願,petition
正,correct
異,uncommon
常,usual
識,discriminating
非,un-
調,tune
整,organize
節,node
査,investigate
検,examination
提,propose
案,plan
示,show
票,ballot
標,signpost
連,take_along
絡,entwine
続,continue
相,inter-
談,discuss
記,scribe
憶,recollection
録,record
登,ascend
秒,second
関,connection
係,person_in_charge
状,status_quo
況,but_of_course
態,attitude
政,politics
治,reign
府,municipality
党,party
策,scheme
選,elect
挙,raise
択,choose
候,climate
補,supplement
首,neck
脳,brain
悩,trouble
頭,head
顔,face
改,reformation
革,leather
命,fate
令,orders
領,jurisdiction
組,association
織,weave
進,advance
推,conjecture
拡,broaden
責,blame
任,responsibility
辞,resign
委,committee
託,consign
勤,diligence
務,task
従,accompany
雇,employ
績,exploits
募,recruit
集,gather
採,pick
給,salary
需,demand
卒,graduate
就,concerning
職,post
退,retreat
屈,yield
契,pledge
渉,ford
妥,gentle
条,twig
件,affair
参,visit
惨,wretched
加,add
追,chase
盟,alliance
比,compare
較,contrast
批,criticism
判,judgment
評,evaluate
感,emotion
想,concept
像,statue
象,elephant
抽,pluck
障,hinder
修,discipline
傷,wound
換,interchange
替,exchange
災,disaster
害,harm
被,incur
破,rend
壊,demolition
救,salvation
助,help
援,abet
派,faction
遣,dispatch
警,admonish
官,bureaucrat
管,pipe
犯,crime
罪,guilt
盗,steal
殺,kill
奪,rob
逮,apprehend
捕,catch
逃,escape
挑,challenge
戦,war
争,contend
競,vie
混,mix
乱,riot
紛,distract
統,overall
総,general
探,grope
捜,search
捨,discard
拾,pick_up
索,cord
湖,lake
池,pond
深,deep
浅,shallow
落,fall
泳,swim
波,waves
流,current
洪,deluge
崩,crumble
洗,wash
油,oil
浮,floating
沈,sink
没,drown
将,leader
永,eternity
久,long_time
氷,icicle
河,river
冷,cool
凍,frozen
庫,warehouse
蔵,storehouse
臓,entrails
快,cheerful
適,suitable
摘,pinch
涼,refreshing
湿,damp
汚,dirty
染,dye
排,repudiate
廃,abolish
棄,abandon
景,scenery
影,shadow
響,echo
環,ring
境,boundary
観,outlook
光,ray
測,fathom
太,plump
陽,sunshine
宇,eaves
宙,mid-air
星,star
衛,defense
球,ball
雲,cloud
曇,cloudy_weather
震,quake
振,shake
揺,swing
神,gods
秘,secret
密,secrecy
精,refined
厳,stern
貴,precious
遺,bequeath
跡,tracks
奇,strange
寄,draw_near
歴,curriculum
史,history
紀,chronicle
王,king
宝,treasure
建,build
築,fabricate
構,posture
橋,bridge
柱,pillar
位,rank
置,placement
距,long-distance
離,detach
停,halt
周,circumference
辺,environs
囲,surround
範,pattern
隣,neighboring
黄,yellow
横,sideways
断,severance
継,inherit
幅,hanging_scroll
欧,Europe
州,state
陸,land
極,poles
端,edge
訪,call_on
房,tassel
諸,various
緒,thong
緑,green
貨,freight
貿,trade
易,easy
輸,transport
輪,wheel
往,journey
復,restore
繰,winding
操,maneuver
縦,vertical
渋,astringent
滞,stagnate
帯,sash
携,portable
併,join
留,detain
守,guard
宅,home
宛,address
戻,re-
起,rouse
寝,lie_down
静,quiet
暇,spare_time
趣,gist
両,both
片,one-sided
側,side
裏,back
項,paragraph
印,stamp
刷,printing
刊,publish
冊,tome
版,printing_block
詳,detailed
細,dainty
掲,put_up_a_notice
載,load
積,volume
翻,flip
訳,translate
誤,mistake
訂,revise
討,chastise
塗,paint
添,annexed
付,adhere
属,belong
貼,affix
省,focus
略,abbreviation
概,outline
念,wish
含,include
順,obey
序,preface
逆,inverted
列,file
例,example
余,too_much
途,route
除,exclude
削,plane
剰,surplus
即,instant
既,previously
刻,engrave
締,tighten
緩,slacken
栄,flourish
養,foster
豊,bountiful
富,wealth
副,vice-
苦,suffering
労,labor
困,quandary
貧,poverty
乏,destitution
甘,sweet
辛,spicy
幸,happiness
福,blessing
祉,welfare
塩,salt
砂,sand
糖,sugar
漠,vague
模,imitation
農,agriculture
濃,concentrated
漁,fishing
薄,dilute
厚,thick
圧,pressure
迫,urge
縮,shrink
伸,expand
倍,double
超,transcend
越,surpass
抜,slip_out
昇,rise_up
膨,swell
札,tag
礼,salutation
謝,apologize
射,shoot
程,extent
優,tenderness
秀,excel
透,transparent
誘,entice
導,guidance
希,hope
望,ambition
志,intention
努,toil
怒,angry
独,single
身,somebody
占,fortune-telling
拠,foothold
処,dispose
仲,go-between
介,jammed_in
紹,introduce
招,beckon
照,illuminate
夫,husband
婦,lady
妻,wife
奥,core
互,mutually
皆,all
我,ego
誰,who?
齢,age
籍,enroll
愛,love
恋,romance
誕,nativity
延,prolong
祝,celebrate
純,genuine
粋,chic
夢,dream
錯,confused
慎,humility
泣,cry
涙,tears
笑,laugh
喜,rejoice
恥,shame
弁,valve
護,safeguard
士,gentleman
看,watch_over
患,afflicted
肯,agreement
否,negate
述,mention
裁,tailor
訴,accusation
迷,astray
惑,beguile
域,range
疑,doubt
謎,riddle
著,renowned
権,authority
侵,encroach
偽,falsehood
為,do
贈,presents
賠,compensation
償,reparation
賞,prize
与,bestow
財,property
貯,savings
預,deposit
融,dissolve
隔,isolate
了,complete
承,acquiesce
納,settlement
得,gain
損,damage
燃,burn
焼,bake
燥,parch
乾,drought
幹,tree_trunk
酸,acid
素,elementary
炭,charcoal
岩,boulder
岸,beach
庭,courtyard
桜,cherry_tree
咲,blossom
吹,blow
散,scatter
植,plant
根,root
板,plank
草,grass
葉,leaf
呼,call
吸,suck
及,reach_out
扱,handle
級,class
胸,bosom
腹,abdomen
腰,loins
肺,lungs
胃,stomach
皿,dish
血,blood
液,fluid
溶,melt
容,contain
背,stature
骨,skeleton
滑,slippery
折,fold
析,chop
健,healthy
康,sane
診,checkup
珍,rare
療,heal
毒,poison
菌,germ
症,symptoms
清,pure
潔,undefiled
監,oversee
督,coach
撮,snapshot
描,sketch
躍,leap
再,again
編,compilation
放,set_free
視,inspection
聴,listen
衣,garment
装,attire
仮,provisional
鏡,mirror
銅,copper
演,performance
劇,drama
悲,sad
団,group
固,harden
美,beauty
博,Dr.
展,unfold
催,sponsor
促,stimulate
典,code
殊,particularly
徴,indications
微,delicate
妙,exquisite
免,excuse
許,permit
訓,instruction
詞,parts_of_speech
司,director
購,subscription
講,lecture
師,expert
授,impart
伝,transmit
鳥,bird
鳴,chirp
声,voice
卵,egg
匹,equal
犬,dog
馬,horse
駐,parking
騒,boisterous
飼,domesticate
刺,thorn
激,violent
興,entertain
奮,stirred_up
驚,wonder
至,climax
致,doth
到,arrival
倒,overthrow
債,bond
斜,diagonal
傾,lean
坂,slope
狭,cramped
徐,gradually
硬,stiff
軟,soft
柔,tender
緊,tense
張,lengthen
衝,collide
突,stab
触,contact
壁,wall
避,evade
軍,army
隊,regiment
墜,crash
兵,soldier
核,nucleus
武,warrior
銃,gun
充,allot
弾,bullet
丸,round
攻,aggression
撃,beat
爆,bomb
暴,outburst
襲,attack
絶,discontinue
滅,destroy
防,ward_off
妨,disturb
嫌,dislike
撤,remove
徹,penetrate
底,bottom
抵,resist
抗,confront
敵,enemy
脅,threaten
威,intimidate
勢,forces
姿,figure
恐,fear
怖,dreadful
竜,dragon
巨,gigantic
拒,repel
糸,thread
系,lineage
孫,grandchild
絹,silk
綿,cotton
縁,affinity
繊,slender
維,fiber
紡,spinning
紳,sire
累,accumulate
繁,luxuriant
緯,horizontal
偉,admirable
韓,Korea
刀,sword
刃,blade
忍,endure
耐,-proof
矢,dart
弓,bow
弦,bowstring
弧,arc
孤,orphan
爪,claw
机,desk
枠,frame
棚,shelf
梱,bale
桁,girder
棒,rod
柄,design
枝,bough
枯,wither
朽,decay
巧,adroit
某,so-and-so
媒,mediator
謀,conspire
詩,poem
謡,Noh_chanting
誇,boast
詐,lie
欺,deceit
訟,sue
詰,packed
諾,consent
譲,defer
諮,consult_with
該,above-stated
誠,sincerity
盛,boom
謙,self-effacing
遜,modest
兼,concurrently
廉,bargain
針,needle
釣,angling
鋭,pointed
鈍,dull
鉱,mineral
鋼,steel
鎖,chain
鈴,small_bell
鉛,lead_(metal)
鎮,tranquillize
鍵,key
鍛,forge
錬,tempering
錠,lock
綻,come_apart_at_the_seams
銘,inscription
鑑,specimen
鐘,bell
鉢,bowl
鍋,pot
鋳,casting
寿,longevity
谷,valley
俗,vulgar
裕,abundant
浴,bathe
沿,run_alongside
浜,seacoast
沖,open_sea
湾,gulf
沼,marsh
泉,spring
滝,waterfall
江,creek
沢,swamp
瀬,rapids
潜,submerge
淡,thin
津,haven
漂,drift
氾,widespread
泥,mud
濁,voiced
澄,lucidity
渦,whirlpool
湯,hot_water
沸,seethe
濯,laundry
浄,clean
浸,immersed
漏,leak
濡,drench
溝,gutter
潮,tide
汁,soup
滴,drip
潤,wet
浪,wandering
渇,thirst
褐,brown
喝,hoarse
叫,shout
吐,spit
嘆,sigh
喫,consume
虫,insect
忠,loyalty
怠,neglect
懸,suspend
憩,recess
恩,grace
恵,favor
徳,benevolence
衡,equilibrium
街,boulevard
径,diameter
征,subjugate
歪,warped
井,well
丼,domburi
耕,till
耗,decrease
豆,beans
粉,flour
粒,grains
粧,cosmetics
粘,sticky
糧,provisions
麦,barley
畑,farm
炊,cook
灯,lamp
炉,hearth
炎,inflammation
灰,ashes
暦,calendar
皮,pelt
膚,skin
毛,fur
尾,tail
髪,hair_of_the_head
肩,shoulder
舌,tongue
鼻,nose
盲,blind
唇,lips
辱,embarrass
臭,stinking
匂,aroma
尻,buttocks
尿,urine
尺,shaku
尽,exhaust
釈,explanation
居,reside
据,set
掘,dig
堀,ditch
塀,fence
層,stratum
履,footgear
覆,capsize
覇,hegemony
戸,door
扉,front_door
扇,fan
羽,feathers
翌,the_following
翼,wing
舟,boat
舶,liner
艦,warship
艇,rowboat
廷,courts
羊,sheep
鮮,fresh
鯨,whale
群,flock
郡,county
君,old_boy
殿,Mr.
殴,assault
穀,cereals
殻,husk
旨,delicious
脂,fat
肪,obese
豚,pork
鶏,chicken
肥,fertilizer
胴,trunk
肌,texture
腕,arm
脇,armpit
脚,shins
腸,intestines
肝,liver
脈,vein
胎,womb
肢,limb
胆,gall_bladder
胞,placenta
膜,membrane
幕,curtain
暮,livelihood
墓,grave
芝,turf
芽,bud
茎,stalk
茂,overgrown
菓,candy
薦,recommend
荒,laid_waste
慌,disconcerted
蘇,resurrect
葬,interment
儀,ceremony
犠,sacrifice
牲,animal_sacrifice
僧,Buddhist_priest
憎,hate
仏,Buddha
坊,boy
旗,national_flag
旋,rotation
竹,bamboo
筆,writing_brush
笛,flute
簿,register
筋,muscle
筒,cylinder
箇,item
箱,box
袋,sack
裂,split
布,linen
己,self
包,wrap
抱,embrace
泡,bubble
句,phrase
拘,arrest
旬,decameron
殉,martyrdom
殖,augment
飽,sated
飾,decorate
飢,hungry
餓,starve
餌,feed
凡,mediocre
帆,sail
帳,notebook
旧,olden_times
児,newborn_babe
克,overcome
妊,pregnancy
娠,with_child
姓,surname
嫁,marry_into
婿,bridegroom
乳,milk
幼,infancy
幻,phantasm
玄,mysterious
亭,pavilion
豪,overpowering
畜,livestock
蓄,amass
眼,eyeball
眠,sleep
眺,stare
瞬,wink
瞳,pupil
睡,drowsy
垂,droop
寸,measurement
封,seal
掛,hang
措,set_aside
拝,worship
拍,clap
控,withdraw
拐,kidnap
挿,insert
搬,conveyor
掃,sweep
把,grasp
握,grip
揃,muster
披,expose
擁,hug
括,fasten
拓,clear_the_land
揮,brandish
輝,radiance
艶,glossy
擬,mimic
凝,congeal
抑,repress
仰,faceup
迎,welcome
還,send_back
逐,pursue
遂,consummate
迅,swift
巡,patrol
逸,elude
迭,alternate
遇,interview
偶,accidentally
隅,corner
愚,foolish
城,castle
坪,two-mat_area
垣,hedge
恒,constancy
培,cultivate
陪,auxiliary
剖,divide
栽,plantation
伐,fell
戒,commandment
幾,how_many
伺,pay_respects
倫,ethics
俳,haiku
俊,sagacious
敏,cleverness
悔,repent
侮,scorn
倣,emulate
傑,greatness
傍,bystander
倹,frugal
俺,myself
僕,me
撲,slap
僚,colleague
寮,dormitory
偏,partial
遍,everywhere
冗,superfluous
穴,hole
宗,religion
崇,adore
宮,Shinto_shrine
宣,proclaim
宜,best_regards
審,hearing
憲,constitution
寂,loneliness
窒,plug_up
宴,banquet
寧,rather
寛,tolerant
覧,perusal
臣,retainer
臨,look_to
閣,tower
閲,review
閑,leisure
闘,fight
閥,clique
闇,pitch_dark
哀,pathetic
衰,decline
懐,pocket
惜,pity
惰,lazy
慨,rue
憤,aroused
噴,erupt
墳,tomb
恨,resentment
愉,pleasure
悦,ecstasy
悟,enlightenment
怪,suspicious
慢,ridicule
漫,loose
悼,lament
卓,eminent
歓,delight
勧,persuade
唯,solely
准,quasi-
焦,char
礁,reef
雄,masculine
雌,feminine
雅,gracious
羅,gauze
隻,vessels
獲,seize
穫,harvest
稚,immature
稲,rice_plant
穂,ear_of_a_plant
稼,earnings
称,appellation
秩,regularity
稿,draft
稀,sparse
穏,calm
隠,conceal
陰,shade
陥,collapse
陣,camp
附,affixed
随,follow
髄,marrow
鬼,ghost
魔,witch
魅,fascination
魂,soul
塊,clod
醜,ugly
卑,lowly
碑,tombstone
砕,smash
磁,magnet
砲,cannon
硫,sulfur
硝,nitrate
礎,cornerstone
貝,shellfish
賄,bribe
賂,graft
賢,intelligent
腎,kidney
頻,repeatedly
顧,look_back
煩,anxiety
頒,partition
顕,appear
頑,stubborn
頂,place_on_the_head
頃,about_that_time
頁,page
矛,halberd
盾,shield
循,sequential
倉,godown
創,genesis
斉,adjusted
剤,dose
剣,saber
刈,reap
剛,sturdy
刑,punish
罰,penalty
署,signature
尋,inquire
凶,villain
囚,captured
圏,sphere
孝,filial_piety
老,old_man
煮,boil
蒸,steam
勲,meritorious_deed
烈,ardent
熟,mellow
黙,silence
獣,animal
伏,prostrated
献,offering
駄,burdensome
駆,drive
騎,equestrian
騰,inflation
丘,hill
岳,Point
缶,tin_can
卸,wholesale
却,instead
庁,government_office
庶,commoner
遮,intercept
麻,hemp
腐,rot
床,bed
畳,tatami_mat
摩,chafe
擦,grate
干,dry
汗,sweat
軒,flats
軌,rut
軸,axis
轄,control
輩,comrade
暫,temporarily
香,incense
冒,risk
帽,cap
唱,chant
晶,sparkle
昆,descendants
是,just_so
堤,dike
尊,revered
敬,awe
敷,spread
牧,breed
赦,pardon
敢,daring
勇,courage
劣,inferiority
励,encourage
劾,censure
勘,intuition
堪,withstand
甚,tremendously
雷,thunder
霧,fog
霜,frost
露,dew
零,zero
雰,atmosphere
霊,spirits
幽,faint
盆,basin
盤,tray
衆,masses
舞,dance
踊,jump
踏,step
跳,hop
蹴,kick
践,tread
桟,scaffold
銭,coin
里,ri
厘,rin
童,juvenile
埋,bury
塁,bases
墨,black_ink
堂,public_chamber
堅,strict
堕,degenerate
塾,cram_school
壮,robust
荘,villa
奨,exhort
狂,lunatic
猶,waver
猫,cat
猿,monkey
狩,hunt
猟,game_hunting
狙,aim_at
猛,fierce
獄,prison
章,badge
彰,patent
彫,carve
彩,coloring
丈,length
吏,officer
央,center
又,or_again
双,pair
叙,confer
叔,uncle
淑,graceful
戚,relatives
祈,pray
禅,Zen
裸,naked
禍,calamity
襟,collar
祥,auspicious
祖,ancestor
租,tariff
粗,coarse
阻,thwart
且,moreover
但,however
酢,vinegar
酷,cruel
醸,brew
酵,fermentation
酌,bartending
酪,dairy_products
酬,repay
郊,outskirts
邸,residence
邦,home_country
邪,wicked
郭,enclosure
享,receive
玉,jewel
皇,emperor
聖,holy
呈,display
呂,spine
班,squad
召,seduce
昭,shining
哲,philosophy
啓,disclose
善,virtuous
繕,darning
綱,hawser
網,netting
縄,straw_rope
縛,truss
縫,sew
糾,twist
絞,strangle
紋,family_crest
紺,navy_blue
紫,purple
紅,crimson
虹,rainbow
松,pine_tree
杉,cedar
梅,plum
桃,peach_tree
柳,willow
樹,timber-trees
棟,ridgepole
欄,column
槽,vat
遭,encounter
曹,cadet
亜,Asia
栓,plug
枢,hinge
棺,coffin
枕,pillow
楼,watchtower
巣,nest
架,erect
呆,dumbfounded
棋,chess_piece
碁,Go
桑,mulberry
朴,crude
赴,proceed
虚,void
嘘,fib
戯,frolic
虜,captive
虐,tyrannize
慮,prudence
憂,melancholy
璧,
癖,mannerism
癒,healing
疫,epidemic
痴,stupid
疾,rapidly
痢,diarrhea
痘,pox
岬,headland
崎,promontory
峠,mountain_peak
峰,summit
崖,bluffs
嵐,storm
峡,gorge
岐,branch_off
鼓,drum
喚,yell
嘱,entrust
唆,tempt
吟,versify
嚇,upbraid
噂,gossip
叱,scold
尼,nun
厄,unlucky
吉,good_luck
舎,cottage
傘,umbrella
姫,princess
妃,queen
嬢,lass
壌,lot
如,likeness
姻,matrimony
嫡,legitimate_wife
婆,old_woman
妄,delusion
娯,recreation
呉,give
奴,guy
隷,slave
涯,horizon
潟,lagoon
渓,mountain_stream
漬,pickling
潰,defile
泌,ooze
汽,vapor
濫,overflow
漆,lacquer
漸,steadily
洞,den
浦,bay
舗,shop
貞,upright
偵,spy
貢,tribute
貫,pierce
賀,congratulations
賦,levy
賊,burglar
賭,gamble
賑,bustling
蚊,mosquito
蛇,snake
蚕,silkworm
蛮,barbarian
蛍,lightning_bug
掌,manipulate
尚,esteem
苗,seedling
芋,potato
菊,chrysanthemum
藻,seaweed
薪,firewood
藩,clan
華,splendor
芳,perfumed
蔑,revile
薫,fragrant
慕,pining
恭,respect
拭,wipe
挫,sprain
挨,shove
拶,imminent
挟,sandwiched
搾,squeeze
拙,bungling
抄,extract
抹,rub
扶,aid
拷,torture
揚,hoist
摂,vicarious
搭,board
塔,pagoda
坑,pit
塚,hillock
壇,podium
譜,musical_score
詠,recitation
謁,audience
謹,discreet
諦,give_up
諭,rebuke
誓,vow
誉,reputation
俵,bag
佐,assistant
仙,hermit
伯,chief
侍,waiter
儒,Confucian
佳,excellent
仁,humanity
侯,marquis
伴,consort
畔,paddy_ridge
奉,dedicate
俸,stipend
奏,play_music
泰,peaceful
巻,scroll
拳,fist
陶,pottery
陛,highness
陵,mausoleum
隆,hump
陳,line_up
阪,Heights
肖,resemblance
宵,wee_hours
窃,stealth
窮,hard_up
宰,superintend
窯,kiln
賓,V.I.P.
寡,widow
冠,crown
帝,sovereign
粛,solemn
執,tenacious
疎,alienate
靴,shoes
屯,barracks
升,measuring_box
奔,bustle
弊,abuse
幣,cash
斤,ax
斥,reject
后,empress
匠,artisan
匿,hide
朱,vermilion
珠,pearl
琴,harp
滋,nourishing
慈,mercy
憾,remorse
忌,mourning
愁,distress
悠,remote
慰,consolation
懲,penal
懇,sociable
墾,groundbreaking
唐,T'ang
磨,grind
庸,comfortable
慶,jubilation
廊,corridor
郷,hometown
郎,son
朗,melodious
凹,concave
凸,convex
壱,I_(one)
弐,II_(two)
甲,armor
乙,fish_guts
丙,third_class
勺,ladle
匁,monme
弔,condolences
丹,cinnabar
斗,Big_Dipper
孔,cavity
暁,daybreak
罷,quit
款,goodwill
矯,rectify
瓶,flower_pot
銑,pig_iron
錘,spindle
虞,uneasiness
詔,imperial_edict
遵,abide_by
逝,departed
遷,transition
逓,parcel_post
謄,facsimilie
脹,dilate
塑,model
衷,inmost
喪,miss
褒,praise
麗,lovely
篤,fervent
尉,military_officer
爵,baron
斎,purification
翁,venerable_old_man
韻,rhyme
賜,grant
勅,imperial_order
嗣,heir
畝,furrow
帥,commander
朕,majestic_plural
璽,imperial_seal
繭,cocoon
吾,I
朋,companion
昌,prosperous
旭,rising_sun
旦,nightbreak
亘,span
只,only
汐,eventide
埼,cape
圭,squared_jewel
鯉,carp
桂,Japanese_Judas-tree
柏,oak
梢,treetops
杏,apricot
桐,paulownia
沫,splash
荻,reed
辻,crossing
幌,canopy
錦,brocade
嬌,attractive
匕,spoon
乞,beg
茨,briar
曽,formerly
栃,horse_chestnut
蝶,butterfly
亀,tortoise
羨,envious
曰,sayeth
串,shish_kebab
乃,from
允,license
蜜,honey
裳,skirt
梨,pear_tree
笠,bamboo_hat
笹,bamboo_grass
瓦,tile
勿,not
奈,Nara
袖,sleeve
伊,Italy
漕,rowing
廿,twenty
藤,wisteria
之,of
智,wisdom
弘,vast
猪,boar
渚,strand
阿,Africa
窪,depression
苑,garden
怨,grudge
酉,sign_of_the_bird
梓,catalpa
睦,intimate
菱,diamond
亥,sign_of_the_hog
椿,camellia
鎌,sickle
栗,chestnut
楠,camphor_tree
彦,lad
須,ought
蒲,bullrush
瓜,melon
函,bin
牙,tusk
鶴,crane
烏,crow
蔦,vine
鳩,pigeon
媛,beautiful_woman
岡,Mount
駒,pony
虎,tiger
鹿,deer
熊,bear
寅,sign_of_the_tiger
辰,sign_of_the_dragon
丑,sign_of_the_cow
卯,sign_of_the_hare
巳,sign_of_the_snake
此,this_here
柴,brushwood
砦,fort
些,whit
髭,beard
璃,crystal
禽,fowl
檎,apple
憐,sympathize_with
燐,phosphorus
麟,camelopard
鱗,scaled
奄,encompassing
庵,hermitage
掩,shrouded
悛,make_amends
駿,steed
峻,steep
竣,complete_a_job
臼,mortar
舅,father-in-law
鼠,mouse
鑿,bore
毀,break
艘,small_craft
犀,rhinoceros
皐,lunar_month
脊,spinal_column
畷,rice-field_footpath
綴,mend
爾,let_it_be
鎧,suit_of_armor
凱,triumph
妖,bewitched
沃,irrigate
呑,quaff
韮,leek
籤,lottery
懺,penitential
芻,hay
雛,chick
趨,scurry
尤,understandably
稽,training
厖,immense
采,grab
或,a
斬,chop_off
兎,rabbit
也,est
尭,lofty
巴,comma-design
甫,offspring
疋,critters
菫,violet
曼,mandala
巾,towel
云,quote
卜,augury
喬,heaven-high
莫,shalt
倭,Yamato
侠,chivalry
倦,fed_up
佼,comely
俄,abrupt
佃,work_a_field
伶,minstrel
仔,animal_offspring
仇,foe
伽,look_after
僅,trifle
僻,biased
儲,make_a_profit
倖,bliss
僑,emigrant
侶,partner
伎,performing_artist
侃,integrity
倶,mate
侭,as_is
佑,adjutant
俣,fork_in_a_road
傭,hire
偲,memorial
脩,dried_meat
倅,my_son
做,make_do
凄,nifty
冴,sharp
凋,wilt
凌,pull_through
冶,metallurgy
凛,stately
凧,kite
凪,lull
